	Note ESG	1
Inmobiliaria Colonial SOCIMI SA	5.7	
Innovative Industrial Properties, Inc.	18.6	
Instone Real Estate Group SE	11.4	
InterRent Real Estate Investment Trust	16.5	
Intershop Holding AG	12.3	
Intervest Offices & Warehouses SA	10.6	
InvenTrust Properties Corp.	13.3	
Invesco Mortgage Capital, Inc.	17.5	
Investis Holding SA	26.0	
Investore Property Ltd.	16.5	
Invincible Investment Corp.	18.3	
Invitation Homes, Inc.	16.0	
IOI Properties Group Bhd.	13.1	
IRB InvIT Fund	23.1	
Irish Residential Properties REIT Plc	14.3	
Iron Mountain, Inc.	14.2	
Is Gayrimenkul Yatirim Ortakligi AS	17.6	
Israel Canada (T.R) Ltd.	21.4	
Isras Investment Co. Ltd.	23.9	
Ivanhoé Cambridge, Inc.	17.3	
Japan Excellent, Inc.	16.7	
Japan Hotel REIT Investment Corp.	17.1	
Japan Logistics Fund, Inc.	12.9	
Japan Metropolitan Fund Investment Corp.	14.4	
Japan Prime Realty Investment Corp.	13.8	
Japan Real Estate Investment Corp.	11.4	
JBG SMITH Properties	13.2	
Jeudan A/S	18.0	
JHSF Participações SA	18.9	
Jiangsu Zhongnan Construction Group Co., Ltd.	27.9	
Jinke Smart Services Group Co., Ltd.	28.2	
Jinmao Property Services Co., Ltd.	24.3	
John Mattson Fastighetsföretagen AB	17.7	
Jones Lang LaSalle, Inc.	7.4	
JR Global REIT	23.0	
K-Fast Holding AB	20.7	
K. Wah International Holdings Ltd.	26.0	
K2A Knaust & Andersson Fastigheter AB	13.1	
Kaufman & Broad SA	16.5	
KDX Realty Investment Corp.	14.9	
Kee Tai Properties Co., Ltd.	26.8	
Keihanshin Building Co., Ltd.	14.2	
Kennedy-Wilson Holdings, Inc.	15.2	
Keppel DC REIT	10.5	
Keppel Pacific Oak US REIT	7.8	
Keppel REIT	8.5	
Kerry Properties Ltd.	15.0	
Killam Apartment REIT	11.8	
Kilroy Realty Corp.	13.5	
Kimco Realty Corp.	11.2	
Kindom Development Co., Ltd.	22.1	
Kite Realty Group Trust	9.8	
Kiwi Property Group Ltd.	11.7	
Kizilbük Gayrimenkul Yatirim Ortakligi AS	23.9	
KKR Real Estate Finance Trust Inc.	17.8	
KlaraBo Sverige AB	18.6	
KLCC Property Holdings Bhd.	10.6	
Klépierre SA	7.7	
Kojamo Oyj	11.4	
Korea Asset In Trust Co., Ltd.	19.5	
Korea Real Estate Investment Trust Co., Ltd.	21.3	
Kowloon Development Co. Ltd.	17.1	
Kuo Yang Construction Co., Ltd.	16.8	
Kuwait Real Estate Co.	30.9	
Kvutzat Acro Ltd.	24.7	
KWG Living Group Holdings Ltd.	18.1	
L.P.N. Development Public Co., Ltd.	19.4	
Ladder Capital Corp.	17.9	
Lai Sun MTN Ltd.	17.0	
LAMDA Development SA	20.3	
Land & Houses Public Co., Ltd.	19.4	
Land Securities Group Plc	7.4	
Lar España Real Estate SOCIMI SA	14.0	
LaSalle LOGIPORT REIT	12.3	
LEG Immobilien SE	6.3	
Lendlease Global Commercial REIT	14.2	
Lendlease Group	19.8	
Leopalace21 Corp.	24.6	
Life Science Reit Plc	18.6	
Lifestyle Communities Ltd.	21.1	
Link Real Estate Investment Trust	8.8	
Log Commercial Properties e Participações SA	16.5	
Logicor Europe Ltd.	15.8	
Logistea AB	16.8	
London & Quadrant Housing Trust Ltd.	13.6	
LondonMetric Property Plc	11.9	
Longfor Group Holdings Ltd.	18.3	
LOTTE REIT Co., Ltd.	23.6	
LPS Brasil - Consultoria de Imoveis SA	16.5	
LSL Property Services Plc	15.0	
LTC Properties, Inc.	19.3	
Lushang Freda Pharmaceutical Co., Ltd.	27.1	
LVGEM (China) Real Estate Investment Co., Ltd.	26.6	
LXI Ltd.	16.8	
LXP Industrial Trust	9.5	
Mabanee Co. SAK	22.3	
Macerich Co.	12.4	
Macrotech Developers Ltd.	13.2	
Madinet Masr for Housing & Development	24.1	
Mah Sing Group Bhd.	19.3	
Mahindra Lifespace Developers Ltd.	15.6	
Mainstreet Equity Corp.	24.2	
Manulife US Real Estate Investment Trust	5.0	
Mapletree Industrial Trust	12.4	
Mapletree Logistics Trust	11.1	
Mapletree Pan Asia Commercial Trust	12.2	
Marcus & Millichap, Inc.	15.4	
MAS Plc	18.0	
Matrix Concepts Holdings Bhd.	17.9	
Maui Land & Pineapple Co., Inc.	22.9	
MBK Public Co. Ltd.	21.2	
Medical Properties Trust, Inc.	17.8	
Mega Or Holdings Ltd.	22.3	
Megaworld Corp.	20.4	
Melisron Ltd.	23.3	
Mercialys SA	7.8	
MERLIN Properties SOCIMI SA	8.7	
Metrovacesa SA	14.4	
MFA Financial, Inc.	15.1	
Mid-America Apartment Communities, Inc.	11.7	
Midea Real Estate Holding Ltd.	22.3	
Mindspace Business Parks REIT	13.7	
Minto Apartment Real Estate Investment Trust	14.4	
MIRAI Corp.	19.9	
Mirarth Holdings, Inc.	14.6	
Mirvac Group	10.3	
Mitsubishi Estate Co., Ltd.	17.2	
Mitsubishi Estate Logistics REIT Investment Corp.	18.5	
Mitsui Fudosan Co., Ltd.	21.9	
Mitsui Fudosan Logistics Park, Inc.	14.6	
Mivne Real Estate (K.D) Ltd.	28.5	
Mobimo Holding AG	17.1	
Modon Holding PSC	24.7	
MONTEA NV	13.6	
Morguard Corp.	26.8	
Morguard North American Residential REIT	14.7	
Mori Hills REIT Investment Corp.	7.9	
MORI TRUST REIT, Inc.	18.0	
Multiplan Empreendimentos Imobiliários SA	16.7	
Nan Fung International Holdings Limited	17.1	
Nanjing Gaoke Co., Ltd.	31.0	
National Health Investors, Inc.	18.8	
National Real Estate Co.	25.3	
National Storage Affiliates Trust	18.1	
National Storage REIT	15.2	
Neinor Homes SA	12.8	
NEPI Rockcastle NV	7.5	
Net Lease Office Properties	17.5	
NetSTREIT Corp.	18.3	
New Brunswick (F-M) Project Co., Inc.	24.2	
New World Development Co. Ltd.	15.4	
New York Mortgage Trust, Inc.	16.2	
Newmark Group, Inc.	16.2	
Newriver Reit Plc	14.8	
Nexity SA	16.5	
NexPoint Real Estate Finance, Inc.	22.1	
NexPoint Residential Trust, Inc.	20.7	
NextDC Ltd.	15.3	
Nexus Industrial REIT	20.6	
Nexus Select Trust	14.7	
Nippon Accommodations Fund, Inc.	15.8	
Nippon Building Fund, Inc.	14.9	
NIPPON KANZAI Holdings Co., Ltd.	21.5	
Nippon Prologis REIT, Inc.	8.9	
NIPPON REIT Investment Corp.	19.8	
Nivika Fastigheter AB	18.9	
NNN REIT, Inc.	16.2	
Nomura Real Estate Holdings, Inc.	16.3	
Nomura Real Estate Master Fund, Inc.	12.8	
Norstar Holdings, Inc.	17.8	
NorthWest Healthcare Properties Real Estate Investment Trust	16.8	
Notting Hill Genesis	13.5	
NP3 Fastigheter AB	15.6	
NSI NV	14.8	
NTT UD REIT Investment Corp.	20.1	
Nyfosa AB	16.7	
Oberoi Realty Ltd.	17.4	
Office Properties Income Trust	16.6	
Olav Thon Eiendomsselskap ASA	19.8	
Omega Healthcare Investors, Inc.	17.3	
One Liberty Properties, Inc.	22.3	
One REIT, Inc.	18.8	
One United Properties SA	18.0	
Ontario Teachers' Cadillac Fairview Properties Trust	13.5	
Open House Group Co., Ltd.	21.9	
Opendoor Technologies, Inc.	11.9	
Orbit Capital Plc	18.5	
Orchid Island Capital, Inc.	18.3	
Origin Property PCL	20.0	
Original Wempi, Inc.	20.2	
Orion Office REIT, Inc.	21.2	
ORIX JREIT, Inc.	8.6	
OUE Real Estate Investment Trust	11.6	
OUTFRONT Media, Inc.	18.6	
Overseas Chinese Town (Asia) Holdings Ltd.	30.3	
Özak Gayrimenkul Yatirim Ortakligi AS	23.4	
P3 Group Sarl	10.0	
Pacific Century Premium Developments Ltd.	19.7	
Palace Capital Plc	21.8	
Pandox AB	15.3	
Paragon REIT	15.8	
Paramount Group, Inc.	6.4	
Park Hotels & Resorts, Inc.	14.1	
Parkway Life Real Estate Investment Trust	17.0	
Parque Arauco SA	14.2	
PATRIZIA SE	20.9	
Pavilion Real Estate Investment Trust	14.6	
Peabody Pension Trust Ltd.	17.5	
Peach Property Group AG	10.4	
Peakstone Realty Trust	18.8	
Pebblebrook Hotel Trust	15.6	
PennyMac Mortgage Investment Trust	13.3	
Phillips Edison & Co., Inc.	19.4	
Phoenix Spree Deutschland Ltd.	19.6	
Physicians Realty Trust	13.3	
Picton Property Income Ltd.	14.7	
Piedmont Office Realty Trust, Inc.	8.9	
Places for People Homes Ltd.	16.2	
Places For People Treasury Plc	23.9	
Platzer Fastigheter Holding AB	12.7	
Plaza SA	17.2	
Plymouth Industrial REIT, Inc.	17.0	
Polski Holding Nieruchomosci SA	21.3	
Poly Developments & Holdings Group Co., Ltd.	26.2	
Poly Property Group Co., Ltd.	26.0	
Poly Property Services Co., Ltd.	15.6	
Postal Realty Trust, Inc.	21.1	
Powerlong Real Estate Holdings Ltd.	29.3	
Praemia HEALTHCARE SA	10.0	
Precinct Properties NZ & Precinct Properties Investments Ltd.	15.4	
Prestige Estates Projects Ltd.	20.5	
Primaris Real Estate Investment Trust	16.8	
Primary Health Properties Plc	10.0	
Prime US REIT	15.5	
Prince Housing & Development Corp.	15.7	
Prologis Property Mexico SA de CV	9.9	
Prologis, Inc.	10.9	
Promociones Habitat SA	10.2	
Property for Industry Ltd.	16.5	
Prosperity Real Estate Investment Trust	8.8	
Pruksa Holding Public Co. Ltd.	20.3	
PSP Swiss Property AG	15.3	
PT Agung Podomoro Land Tbk	29.0	
PT Alam Sutera Realty Tbk	23.2	
PT Bumi Serpong Damai Tbk	14.8	
PT Ciputra Development Tbk	24.2	
PT Kawasan Industri Jababeka Tbk	28.5	
PT Lippo Karawaci Tbk	21.2	
PT Pakuwon Jati Tbk	22.5	
PT Summarecon Agung Tbk	27.8	
Public Storage	13.1	
Quadreal Property Group LP	20.9	
Quality Houses Public Co. Ltd.	19.0	
Quzhou Xin'an Development Co., Ltd.	25.7	
Radiance Holdings (Group) Co., Ltd.	29.3	
Radium Life Tech Co., Ltd.	19.8	
